original_order,id,title,multiauthored,authors,repeat_author
108,199927030,The Lost Story,0,Meg Shaffer,1
109,150247395,The Tainted Cup,0,Robert Jackson Bennett,1
110,203518955,The Black Bird Oracle,0,Deborah Harkness,1
111,203956639,An Academy for Liars,0,Alexis Henderson,1
112,195790847,A Sorceress Comes to Call,0,T. Kingfisher,1
113,203578730,A Song to Drown Rivers,0,Ann Liang,1
114,154462576,The Warm Hands of Ghosts,0,Katherine Arden,1
115,195790597,When Among Crows,0,Veronica Roth,1
116,201129898,The Night Ends with Fire,0,K.X. Song,0
117,201750794,The Bright Sword,0,Lev Grossman,1
118,210298804,Voyage of the Damned,0,Frances White,0
119,127305606,The Dead Cat Tail Assassins,0,P. Djèlí Clark,1
120,186872566,A Sweet Sting of Salt,0,Rose Sutherland,0
121,199798179,The Ministry of Time,0,Kaliane Bradley,0
122,197108968,The Family Experiment,0,John Marrs,1
123,156023123,Annie Bot,0,Sierra Greer,0
124,201930181,The Mercy of Gods,0,James S.A. Corey,1
125,123136728,Orbital,0,Samantha Harvey,0
126,195791479,The Stardust Grail,0,Yume Kitasei,1
127,65213662,Extinction,0,Douglas Preston,1
128,167067538,Moon of the Turning Leaves,0,Waubgeshig Rice,0
129,198276006,I Cheerfully Refuse,0,Leif Enger,0
130,176450755,The Other Valley,0,Scott Alexander Howard,0
131,127282939,Beautyland,0,Marie-Helene Bertino,0
132,210367505,Absolution,0,Jeff VanderMeer,1
133,199353348,Red Side Story,0,Jasper Fforde,1
134,203578812,I'm Starting to Worry About This Black Box of Doom,0,Jason Pargin,1
135,195790861,Service Model,0,Adrian Tchaikovsky,1
136,207293815,Sky Full of Elephants,0,Cebo Campbell,0
137,173476065,Baby X,0,Kira Peikoff,0
138,199248447,The Blueprint,0,Rae Giana Rashad,0
139,65213204,Yours for the Taking,0,Gabrielle Korn,0
140,197063361,In Ascension,0,Martin MacInnes,0
141,201242757,You Like It Darker,0,Stephen King,1
142,199798006,We Used to Live Here,0,Marcus Kliewer,0
143,127306440,What Feasts at Night,0,T. Kingfisher,1
144,196614815,Murder Road,0,Simone St. James,1
145,195790870,Bury Your Gays,0,Chuck Tingle,0
146,195703882,The Eyes Are the Best Part,0,Monika Kim,0
147,199757490,Incidents Around the House,0,Josh Malerman,1
