genre,count,regex that matches,formula text
"Anti Racist,",14,TRUE,"=REGEXMATCH (A188, ""Anti Racist"")"
"Civil War,",14,TRUE,"=REGEXMATCH (A189, ""^Civil War,|, Civil War,|, Civil War$"")"
"Classics,",14,TRUE,"=REGEXMATCH (A190, ""Classics"")"
"Dc Comics,",14,TRUE,"=REGEXMATCH (A191, ""Dc Comics"")"
"Drama,",14,TRUE,"=REGEXMATCH (A192, ""^Drama,|, Drama,|, Drama$"")"
"Faith,",14,TRUE,"=REGEXMATCH (A193, ""Faith"")"
"Juvenile,",14,TRUE,"=REGEXMATCH (A194, ""Juvenile"")"
"M M Romance,",14,TRUE,"=REGEXMATCH (A195, ""M M Romance"")"
"Military Science Fiction,",14,TRUE,"=REGEXMATCH (A196, ""Military Science Fiction"")"
"Spirituality,",14,TRUE,"=REGEXMATCH (A197, ""Spirituality"")"
"Angels,",13,TRUE,"=REGEXMATCH (A198, ""Angels"")"
"Disability,",13,TRUE,"=REGEXMATCH (A199, ""Disability"")"
"BDSM,",12,TRUE,"=REGEXMATCH (A200, ""BDSM"")"
"Cults,",12,TRUE,"=REGEXMATCH (A201, ""Cults"")"
"Education,",12,TRUE,"=REGEXMATCH (A202, ""Education"")"
"Italy,",12,TRUE,"=REGEXMATCH (A203, ""Italy"")"
"Military History,",12,TRUE,"=REGEXMATCH (A204, ""Military History"")"
"The United States Of America,",12,TRUE,"=REGEXMATCH (A205, ""The United States"")"
"21st Century,",11,TRUE,"=REGEXMATCH (A206, ""21st Century"")"
"Anthropology,",11,TRUE,"=REGEXMATCH (A207, ""Anthropology"")"
"Cats,",11,TRUE,"=REGEXMATCH (A208, ""Cats"")"
"Christmas,",11,TRUE,"=REGEXMATCH (A209, ""Christmas"")"
"Dogs,",11,TRUE,"=REGEXMATCH (A210, ""Dogs"")"
"Inspirational,",11,TRUE,"=REGEXMATCH (A211, ""Inspirational"")"
"Japan,",11,TRUE,"=REGEXMATCH (A212, ""^Japan,|, Japan,|, Japan$"")"
"Star Wars,",11,TRUE,"=REGEXMATCH (A213, ""Star Wars"")"
"Autistic Spectrum Disorder,",10,TRUE,"=REGEXMATCH (A214, ""Autistic Spectrum Disorder"")"
"Cyberpunk,",10,TRUE,"=REGEXMATCH (A215, ""Cyberpunk"")"
"Gardening,",10,TRUE,"=REGEXMATCH (A216, ""Gardening"")"
"Gay,",10,TRUE,"=REGEXMATCH (A217, ""^Gay,|, Gay,|, Gay$"")"
"Southern,",10,TRUE,"=REGEXMATCH (A218, ""Southern,|Southern$"")"
"Survival,",10,TRUE,"=REGEXMATCH (A219, ""Survival"")"
"American Revolution,",9,TRUE,"=REGEXMATCH (A220, ""^American Revolution,|, American Revolution,|, American Revolution$"")"
"Film,",9,TRUE,"=REGEXMATCH (A221, ""Film"")"
"Finance,",9,TRUE,"=REGEXMATCH (A222, ""Finance"")"
"Holiday,",9,TRUE,"=REGEXMATCH (A223, ""Holiday"")"
"Jewish,",9,TRUE,"=REGEXMATCH (A224, ""Jewish"")"
"Journalism,",9,TRUE,"=REGEXMATCH (A225, ""Journalism"")"
"Medieval,",9,TRUE,"=REGEXMATCH (A226, ""Medieval"")"
"Neuroscience,",9,TRUE,"=REGEXMATCH (A227, ""Neuroscience"")"
"Poetry Plays,",9,TRUE,"=REGEXMATCH (A228, ""Poetry Plays"")"
"Sustainability,",9,TRUE,"=REGEXMATCH (A229, ""Sustainability"")"
"Cozy Mystery,",8,TRUE,"=REGEXMATCH (A230, ""Cozy Mystery"")"
"Erotic Romance,",8,TRUE,"=REGEXMATCH (A231, ""Erotic Romance"")"
"Futuristic,",8,TRUE,"=REGEXMATCH (A232, ""Futuristic"")"
"Irish Literature,",8,TRUE,"=REGEXMATCH (A233, ""Irish Literature"")"
"Popular Science,",8,TRUE,"=REGEXMATCH (A234, ""Popular Science"")"
"Regency,",8,TRUE,"=REGEXMATCH (A235, ""^Regency,|, Regency,|, Regency$"")"
"Relationships,",8,TRUE,"=REGEXMATCH (A236, ""Relationships"")"
"Food Writing,",7,TRUE,"=REGEXMATCH (A237, ""Food Writing"")"
"Gender,",7,TRUE,"=REGEXMATCH (A238, ""^Gender,|, Gender,|, Gender$"")"
"Genetics,",7,TRUE,"=REGEXMATCH (A239, ""Genetics"")"
"Historical Mystery,",7,TRUE,"=REGEXMATCH (A240, ""Historical Mystery"")"
"Kids,",7,TRUE,"=REGEXMATCH (A241, ""Kids"")"
"Lovecraftian,",7,TRUE,"=REGEXMATCH (A242, ""Lovecraftian"")"
"Management,",7,TRUE,"=REGEXMATCH (A243, ""Management"")"
"Pirates,",7,TRUE,"=REGEXMATCH (A244, ""Pirates"")"
"Scotland,",7,TRUE,"=REGEXMATCH (A245, ""Scotland"")"
"Small Town Romance,",7,TRUE,"=REGEXMATCH (A246, ""Small Town Romance"")"
"World War I,",7,TRUE,"=REGEXMATCH (A247, ""World War I,|, World War I$"")"
"Adoption,",6,TRUE,"=REGEXMATCH (A248, ""Adoption"")"
"Alternate History,",6,TRUE,"=REGEXMATCH (A249, ""Alternate History"")"
"Astronomy,",6,TRUE,"=REGEXMATCH (A250, ""Astronomy"")"
"Australia,",6,TRUE,"=REGEXMATCH (A251, ""Australia"")"
"Banned Books,",6,TRUE,"=REGEXMATCH (A252, ""Banned Books"")"
"Basketball,",6,TRUE,"=REGEXMATCH (A253, ""Basketball"")"
"Batman,",6,TRUE,"=REGEXMATCH (A254, ""Batman"")"
"Christianity,",6,TRUE,"=REGEXMATCH (A255, ""Christianity"")"
"Cozy,",6,TRUE,"=REGEXMATCH (A256, ""^Cozy,|, Cozy,|, Cozy$"")"
"Entrepreneurship,",6,TRUE,"=REGEXMATCH (A257, ""Entrepreneurship"")"
"Epic,",6,TRUE,"=REGEXMATCH (A258, ""^Epic,|, Epic,|, Epic$"")"
"Evolution,",6,TRUE,"=REGEXMATCH (A259, ""Evolution"")"
"Germany,",6,TRUE,"=REGEXMATCH (A260, ""Germany"")"
"Mathematics,",6,TRUE,"=REGEXMATCH (A261, ""Mathematics"")"
"Nigeria,",6,TRUE,"=REGEXMATCH (A262, ""Nigeria"")"
"Plays,",6,TRUE,"=REGEXMATCH (A263, ""Plays"")"
"Tv,",6,TRUE,"=REGEXMATCH (A264, ""Tv"")"
"Weird Fiction,",6,TRUE,"=REGEXMATCH (A265, ""Weird Fiction"")"
"Archaeology,",5,TRUE,"=REGEXMATCH (A266, ""Archaeology"")"
"Atheism,",5,TRUE,"=REGEXMATCH (A267, ""Atheism"")"
"Billionaire Romance,",5,TRUE,"=REGEXMATCH (A268, ""Billionaire Romance"")"
"Computer Science,",5,TRUE,"=REGEXMATCH (A269, ""Computer Science"")"
"Dinosaurs,",5,TRUE,"=REGEXMATCH (A270, ""Dinosaurs"")"
"Futurism,",5,TRUE,"=REGEXMATCH (A271, ""Futurism"")"
"Halloween,",5,TRUE,"=REGEXMATCH (A272, ""Halloween"")"
"Photography,",5,TRUE,"=REGEXMATCH (A273, ""Photography"")"
"Political Science,",5,TRUE,"=REGEXMATCH (A274, ""Political Science"")"
"Spain,",5,TRUE,"=REGEXMATCH (A275, ""Spain"")"
"Transgender,",5,TRUE,"=REGEXMATCH (A276, ""Transgender"")"
"Tudor Period,",5,TRUE,"=REGEXMATCH (A277, ""Tudor Period"")"
"World History,",5,TRUE,"=REGEXMATCH (A278, ""World History"")"
"American Revolutionary War,",4,TRUE,"=REGEXMATCH (A279, ""American Revolutionary War"")"
"Artificial Intelligence,",4,TRUE,"=REGEXMATCH (A280, ""Artificial Intelligence"")"
"Bande Dessinée,",4,TRUE,"=REGEXMATCH (A281, ""Bande Dessinée"")"
"Baseball,",4,TRUE,"=REGEXMATCH (A282, ""Baseball"")"
"Brain,",4,TRUE,"=REGEXMATCH (A283, ""Brain"")"
"Christian Fiction,",4,TRUE,"=REGEXMATCH (A284, ""Christian Fiction"")"
"Egypt,",4,TRUE,"=REGEXMATCH (A285, ""Egypt"")"
"Fitness,",4,TRUE,"=REGEXMATCH (A286, ""Fitness"")"
"Hockey,",4,TRUE,"=REGEXMATCH (A287, ""Hockey"")"
"Japanese Literature,",4,TRUE,"=REGEXMATCH (A288, ""Japanese Literature"")"
"Language,",4,TRUE,"=REGEXMATCH (A289, ""Language"")"
"Law,",4,TRUE,"=REGEXMATCH (A290, ""Law"")"
"Linguistics,",4,TRUE,"=REGEXMATCH (A291, ""Linguistics"")"
"Queer Lit,",4,TRUE,"=REGEXMATCH (A292, ""Queer Lit"")"
"Read For School,",4,TRUE,"=REGEXMATCH (A293, ""Read For School"")"
"Sexuality,",4,TRUE,"=REGEXMATCH (A294, ""Sexuality"")"
"Unfinished,",4,TRUE,"=REGEXMATCH (A295, ""Unfinished"")"
"Womens Fiction,",4,TRUE,"=REGEXMATCH (A296, ""Womens Fiction"")"
"19th Century,",3,TRUE,"=REGEXMATCH (A297, ""19th Century"")"
"Aviation,",3,TRUE,"=REGEXMATCH (A298, ""Aviation"")"
"Buddhism,",3,TRUE,"=REGEXMATCH (A299, ""Buddhism"")"
"Climate Change Fiction,",3,TRUE,"=REGEXMATCH (A300, ""Climate Change Fiction"")"
"Collections,",3,TRUE,"=REGEXMATCH (A301, ""Collections"")"
"Comix,",3,TRUE,"=REGEXMATCH (A302, ""Comix"")"
"Crafts,",3,TRUE,"=REGEXMATCH (A303, ""Crafts"")"
"Cuisine,",3,TRUE,"=REGEXMATCH (A304, ""Cuisine"")"
"Design,",3,TRUE,"=REGEXMATCH (A305, ""Design"")"
"Ecology,",3,TRUE,"=REGEXMATCH (A306, ""Ecology"")"
"Fables,",3,TRUE,"=REGEXMATCH (A307, ""Fables"")"
"Fairies,",3,TRUE,"=REGEXMATCH (A308, ""Fairies"")"
"Fashion,",3,TRUE,"=REGEXMATCH (A309, ""Fashion"")"
"Growth Mindset,",3,TRUE,"=REGEXMATCH (A310, ""Growth Mindset"")"
"Iran,",3,TRUE,"=REGEXMATCH (A311, ""Iran"")"
"Marriage,",3,TRUE,"=REGEXMATCH (A312, ""Marriage"")"
"Monsters,",3,TRUE,"=REGEXMATCH (A313, ""Monsters"")"
"Noir,",3,TRUE,"=REGEXMATCH (A314, ""^Noir,|, Noir,|, Noir$"")"
"Outdoors,",3,TRUE,"=REGEXMATCH (A315, ""Outdoors"")"
"Reverse Harem,",3,TRUE,"=REGEXMATCH (A316, ""Reverse Harem"")"
"Robots,",3,TRUE,"=REGEXMATCH (A317, ""Robots"")"
"Role Playing Games,",3,TRUE,"=REGEXMATCH (A318, ""Role Playing Games"")"
"Scandinavian Literature,",3,TRUE,"=REGEXMATCH (A319, ""Scandinavian Literature"")"
"Star Trek,",3,TRUE,"=REGEXMATCH (A320, ""Star Trek"")"
"Teaching,",3,TRUE,"=REGEXMATCH (A321, ""Teaching"")"
